x=998, y=952, w=2, h=3
x=913, y=952, w=3, h=3
x=786, y=952, w=3, h=1
x=718, y=952, w=63, h=10
x=536, y=952, w=2, h=2
x=59, y=952, w=7, h=8
x=0, y=952, w=4, h=3
x=1137, y=951, w=26, h=29
x=1156, y=976, w=3, h=3
x=1140, y=956, w=3, h=5
x=1014, y=951, w=13, h=9
x=940, y=951, w=2, h=2
x=795, y=951, w=1, h=1
x=384, y=951, w=8, h=5
x=259, y=951, w=4, h=3
x=102, y=951, w=6, h=5
x=102, y=951, w=4, h=5
x=1007, y=950, w=7, h=5
x=917, y=950, w=3, h=3
x=904, y=950, w=8, h=3
x=457, y=950, w=9, h=3
x=941, y=949, w=2, h=2
x=921, y=949, w=3, h=5
x=549, y=949, w=4, h=2
x=152, y=949, w=3, h=3
x=65, y=949, w=29, h=10
x=29, y=949, w=8, h=8
x=1563, y=948, w=7, h=3
x=1386, y=948, w=9, h=5
x=1387, y=948, w=6, h=4
x=1374, y=948, w=5, h=3
x=1236, y=948, w=2, h=4
x=1136, y=948, w=5, h=4
